tweet id;username;text;text_no_sw
1,09786E+18;depheliolopes;"Carlos Marighella tinha viés comunista e foi o criador da ALN, 
ação libertadora nacional que agia por meio de atentados 
terrorista na época do regime militar. 
#DepHelioLopes #MinhaCorÉoBrasil https://t.co/JrOIl6FwY9";['carlos', 'marighella', 'viés', 'comunista', 'criador', 'aln', 'ação', 'libertadora', 'nacional', 'agia', 'meio', 'atentados', 'terrorista', 'época', 'regime', 'militar', 'depheliolopes', 'minhacoréobrasil', '']
1,09786E+18;depheliolopes;"Carlos Marighella tinha viés comunista e foi o criador da ALN, 
ação libertadora nacional que agia por meio de atentados 
terrorista na época do regime militar. 
#DepHelioLopes #MinhaCorÉoBrasil https://t.co/JrOIl6FwY9";['carlos', 'marighella', 'viés', 'comunista', 'criador', 'aln', 'ação', 'libertadora', 'nacional', 'agia', 'meio', 'atentados', 'terrorista', 'época', 'regime', 'militar', 'depheliolopes', 'minhacoréobrasil', '']
1,21751E+18;CarlaZambelli38;"O filme do Marighella não vem para o Brasil porque é MUITO RUIM, não por conta de suposta “censura”.

Já o filme estrelado por Wagner Moura - Sergio - é uma baita produção e com certeza irei assistir.

Não há nada contra a boa arte. Há contra mentiras e filmes porcaria. Simples.";['filme', 'marighella', 'vem', 'brasil', 'porque', 'ruim', 'conta', 'suposta', 'censura', 'filme', 'estrelado', 'wagner', 'moura', 'sergio', 'baita', 'produção', 'certeza', 'irei', 'assistir', 'nada', 'contra', 'boa', 'arte', 'contra', 'mentiras', 'filmes', 'porcaria', 'simples']
1,09782E+18;CarlaZambelli38;"DITADURA: Em represália ao filme de Wagner Moura, Lava Jato persegue até o motorista do Marighella!

??????";['ditadura', 'represália', 'filme', 'wagner', 'moura', 'lava', 'jato', 'persegue', 'motorista', 'marighella', '']
1,09721E+18;CarlaZambelli38;"Você vai assistir ao filme do Marighella?

Não interessa: você pagou pelo ingresso do mesmo jeito.

Em 2013, ainda no governo Dilma, o filme exaltando o assassino foi autorizado a captar R$ 10.285.835,35 de dinheiro que iria para os cofres públicos.

https://t.co/ZnZIvo5l6Z";['vai', 'assistir', 'filme', 'marighella', 'interessa', 'pagou', 'ingresso', 'jeito', '2013', 'ainda', 'governo', 'dilma', 'filme', 'exaltando', 'assassino', 'autorizado', 'captar', 'r', '1028583535', 'dinheiro', 'iria', 'cofres', 'públicos', '']
1,09691E+18;CarlaZambelli38;"Palavras do Marighella:

“Objetivos essenciais: A exterminação física dos chefes e assistentes das forças armadas e da polícia. É necessário que todo guerrilheiro urbano tenha em mente que somente poderá sobreviver se está disposto a matar os policiais.”

#marighellaterrorista";['palavras', 'marighella', 'objetivos', 'essenciais', 'exterminação', 'física', 'chefes', 'assistentes', 'forças', 'armadas', 'polícia', 'necessário', 'todo', 'guerrilheiro', 'urbano', 'mente', 'somente', 'poderá', 'sobreviver', 'disposto', 'matar', 'policiais', 'marighellaterrorista']
1,46739E+18;PauloMartins10;"Assisti ao filme ""Marighella"", de Wagner Moura.  Moura fez Lula assistir ao filme no Sindicato dos Metalúrgicos do ABC. São 2 horas e 29 minutos de duração.  Eu garanto: Lula foi torturado.";['assisti', 'filme', 'marighella', 'wagner', 'moura', 'moura', 'fez', 'lula', 'assistir', 'filme', 'sindicato', 'metalúrgicos', 'abc', '2', 'horas', '29', 'minutos', 'duração', 'garanto', 'lula', 'torturado']
1,46617E+18;PauloMartins10;"Pipoca com camarão?

https://t.co/mJvN7JIWDq";['pipoca', 'camarão', '']
1,45954E+18;PauloMartins10;"Ah, que gracinha ...
https://t.co/oST18MNG1j";['ah', 'gracinha', '']
1,45527E+18;PauloMartins10;"Pra provar que você não é racista, não pode repudiar a história de um terrorista. Que lixo. 

Seu Jorge diz que ataques a 'Marighella' são racistas e país não sabe lidar com isso https://t.co/mtyrPC2rPO";['pra', 'provar', 'racista', 'pode', 'repudiar', 'história', 'terrorista', 'lixo', 'jorge', 'diz', 'ataques', 'marighella', 'racistas', 'país', 'sabe', 'lidar', '']
1,19145E+18;PauloMartins10;"Isso é ridículo. O que mais tem na Câmara é discurso de deputado em defesa de ditaduras sanguinárias, como Cuba e URSS, exaltação ao terrorista Marighella e coisas do tipo. Esse ""decoro"" só vale pra um lado?

Rede protocola pedido de cassação de Eduardo - https://t.co/4jcVBps4AR";['ridículo', 'câmara', 'discurso', 'deputado', 'defesa', 'ditaduras', 'sanguinárias', 'cuba', 'urss', 'exaltação', 'terrorista', 'marighella', 'coisas', 'tipo', 'decoro', 'vale', 'pra', 'lado', 'rede', 'protocola', 'pedido', 'cassação', 'eduardo', '']
1,0982E+18;PauloMartins10;Marighella é um fracasso no mundo que repudia o terrorismo https://t.co/VAsH64tvxd;['marighella', 'fracasso', 'mundo', 'repudia', 'terrorismo', '']
1,09749E+18;JJVieira6;@bernardopkuster's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more.;['bernardopkusters', 'account', 'has', 'been', 'withheld', 'in', 'brazil', 'worldwide', 'in', 'response', 'to', 'legal', 'demand', 'learn', 'more']
1,15881E+18;Leonardomequi1;"Esse é o melhor vídeo imparcial que explica quem foi Marighella, assistam, vale a pena!!

https://t.co/154ZDJn0sr";['melhor', 'vídeo', 'imparcial', 'explica', 'marighella', 'assistam', 'vale', 'pena', '']
1,097E+18;Damadeferroofic;@caalsi78 @junqueira2018 https://t.co/r2nupzpGFu;['caalsi78', 'junqueira2018', '']
1,06457E+18;RejanePaiva;"Benício del Toro é humilhado por jornalista cubana. 

Louca pra ver quem vai fazer a entrevista com Wagner Moura a respeito do Marighella... não aceito nada menos que isso rsrs ??@BlogDoPim @radardamidia @conexaopolitica @augustosnunes @claudioedantas 

https://t.co/YZDrhNspxQ";['benício', 'del', 'toro', 'humilhado', 'jornalista', 'cubana', 'louca', 'pra', 'ver', 'vai', 'fazer', 'entrevista', 'wagner', 'moura', 'respeito', 'marighella', 'aceito', 'nada', 'menos', 'rsrs', 'blogdopim', 'radardamidia', 'conexaopolitica', 'augustosnunes', 'claudioedantas', '']
1,09759E+18;LiloVLOG;Lixo https://t.co/cYyeF5UtV5;['lixo', '']
1,45578E+18;clauwild1;A primeira foto mostra o terrorista Carlos Marighella morto, o autor do ‘Mini-manual do Guerrilheiro Urbano’, publicado em 1969. A “obra” do criminoso serve de inspiração para movimentos revolucionários comunistas, e é também adotada por terroristas islâmicos. Eis seu legado! https://t.co/SKFswqTxy0;['primeira', 'foto', 'mostra', 'terrorista', 'carlos', 'marighella', 'morto', 'autor', 'minimanual', 'guerrilheiro', 'urbano', 'publicado', '1969', 'obra', 'criminoso', 'serve', 'inspiração', 'movimentos', 'revolucionários', 'comunistas', 'adotada', 'terroristas', 'islâmicos', 'eis', 'legado', '']
1,19146E+18;clauwild1;@jandira_feghali Bom, para quem deixou o Brasil e foi para a Rússia comemorar a Revolução que promoveu o morticínio de 100 milhões de pessoas, e exaltar figuras como Lenin e Stalin, homenagear o terrorista Marighella não assusta! Faz parte do ‘pacote’ dos adoradores de genocidas.;['jandirafeghali', 'bom', 'deixou', 'brasil', 'rússia', 'comemorar', 'revolução', 'promoveu', 'morticínio', '100', 'milhões', 'pessoas', 'exaltar', 'figuras', 'lenin', 'stalin', 'homenagear', 'terrorista', 'marighella', 'assusta', 'faz', 'parte', 'pacote', 'adoradores', 'genocidas']
1,09713E+18;clauwild1;@MarceloFreixo O que o senhor diria sobre o fato do livro do Carlos Marighella ser usado pelos terroristas do ISIS e já ter servido de inspiração para os terroristas do RAF e para Sadam Hussein? Seria a “revolução humanista”- quanto mais mortos melhor?;['marcelofreixo', 'senhor', 'diria', 'sobre', 'fato', 'livro', 'carlos', 'marighella', 'ser', 'usado', 'terroristas', 'isis', 'ter', 'servido', 'inspiração', 'terroristas', 'raf', 'sadam', 'hussein', 'revolução', 'humanista', 'quanto', 'mortos', 'melhor']
1,09711E+18;clauwild1;@Humano05846854 https://t.co/zrRonW06VN;['humano05846854', '']
1,09711E+18;clauwild1;"Albert A.Stahel, especialista em terrorismo, em entrevista de 24.03.16, trouxe uma informação importante: terroristas do ISIS usam em suas ações o ""Minimanual do Guerrilheiro Urbano"", do terrorista brasileiro Carlos Marighella. Mais um falso herói bajulado pela esquerda nacional.";['albert', 'astahel', 'especialista', 'terrorismo', 'entrevista', '240316', 'trouxe', 'informação', 'importante', 'terroristas', 'isis', 'usam', 'ações', 'minimanual', 'guerrilheiro', 'urbano', 'terrorista', 'brasileiro', 'carlos', 'marighella', 'falso', 'herói', 'bajulado', 'esquerda', 'nacional']
1,09703E+18;clauwild1;@157Felipeboy Eu fiquei imaginando exatamente isso. Imagina só: fazem uma porcaria de filme para louvar um assassino! Um tapa na cara dos familiares das vítimas desse traste que foi Marighella.;['157felipeboy', 'fiquei', 'imaginando', 'exatamente', 'imagina', 'fazem', 'porcaria', 'filme', 'louvar', 'assassino', 'tapa', 'cara', 'familiares', 'vítimas', 'desse', 'traste', 'marighella']
1,09703E+18;clauwild1;"Ano passado, em Berlim, a camarilha cevada com dinheiro público apresentou o filme “O Processo”; a narrativa do ‘golpe’ que derrubou a saudadora da mandioca. Agora, a mesma trupe surge com apologia ao terrorismo em filme que tenta humanizar o assassino Marighella. Um ultraje.";['ano', 'passado', 'berlim', 'camarilha', 'cevada', 'dinheiro', 'público', 'apresentou', 'filme', 'processo', 'narrativa', 'golpe', 'derrubou', 'saudadora', 'mandioca', 'agora', 'mesma', 'trupe', 'surge', 'apologia', 'terrorismo', 'filme', 'tenta', 'humanizar', 'assassino', 'marighella', 'ultraje']
1,09396E+18;clauwild1;Eu não sabia que o Marighella era negro! https://t.co/XYUXhuvaBK;['sabia', 'marighella', 'negro', '']
1,06778E+18;clauwild1;"Acabo de ler, no portal do Crítica Nacional, que o Brasil - pelas mãos do ex-motorista de Carlos Marighella - deve assinar o estapafúrdio ""Pacto Global Migratório"". É uma porcaria oficial atrás da outra. Não dá nem tempo de respirar.";['acabo', 'ler', 'portal', 'crítica', 'nacional', 'brasil', 'mãos', 'exmotorista', 'carlos', 'marighella', 'deve', 'assinar', 'estapafúrdio', 'pacto', 'global', 'migratório', 'porcaria', 'oficial', 'atrás', 'outra', 'dá', 'tempo', 'respirar']
1,03114E+18;clauwild1;O Brasil começou a colher os primeiros frutos da Lei da Imigração. Temos que agradecer ao seu autor, o ex-motorista do Marighella @Aloysio_Nunes, a todos que contribuíram para a aprovação da legislação, e também a esquerda brasileira que financiou e apoiou o regime chavista.;['brasil', 'começou', 'colher', 'primeiros', 'frutos', 'lei', 'imigração', 'agradecer', 'autor', 'exmotorista', 'marighella', 'aloysionunes', 'todos', 'contribuíram', 'aprovação', 'legislação', 'esquerda', 'brasileira', 'financiou', 'apoiou', 'regime', 'chavista']
1,01757E+18;clauwild1;@LulaOficial Visitas chiquérrimas!Um é ex-guerrilheiro do MR-8, mentor do sequestro do embaixador americano. O outro, petista de carteirinha, é o ex-chanceler que nos providenciou o honroso título de “anão diplomático”. Se Marighella estivesse vivo seria presença cativa na PF de Curitiba.;['lulaoficial', 'visitas', 'chiquérrimasum', 'exguerrilheiro', 'mr8', 'mentor', 'sequestro', 'embaixador', 'americano', 'outro', 'petista', 'carteirinha', 'exchanceler', 'providenciou', 'honroso', 'título', 'anão', 'diplomático', 'marighella', 'vivo', 'presença', 'cativa', 'pf', 'curitiba']
1,09711E+18;boni_z;"Um exelente domingão a todos, menos para o Wagner Moura.

O cara que quer ressuscitar o BRANCO Marighella como sendo NEGRO...

Já meteram o dedo no dislayk  ???

Simbóra tratorar esse lixo...

https://t.co/Kpch5IweGR";['exelente', 'domingão', 'todos', 'menos', 'wagner', 'moura', 'cara', 'quer', 'ressuscitar', 'branco', 'marighella', 'sendo', 'negro', 'meteram', 'dedo', 'dislayk', 'simbóra', 'tratorar', 'lixo', '']
1,16757E+18;cesargleyton;@luciano_hang's account has been withheld in Brazil, Worldwide in response to a legal demand. Learn more.;['lucianohangs', 'account', 'has', 'been', 'withheld', 'in', 'brazil', 'worldwide', 'in', 'response', 'to', 'legal', 'demand', 'learn', 'more']
1,09711E+18;cesargleyton;O filme Marighella tende a ser tão verdadeiro quanto ao filme: Lula,  o Filho do Brasil. Condenado ao boicote da #DireitaUnida e consequente Fracasso! https://t.co/ChEItaQAJS;['filme', 'marighella', 'tende', 'ser', 'tão', 'verdadeiro', 'quanto', 'filme', 'lula', 'filho', 'brasil', 'condenado', 'boicote', 'direitaunida', 'consequente', 'fracasso', '']
1,39865E+18;aguedescartoon;BRIGADA MARIGHELLA https://t.co/a49XGfEtVN;['brigada', 'marighella', '']
1,36137E+18;aguedescartoon;Fiz um curso de produção musical em 2015. O professor era um comunista nível PCO e eu estava com minha veia antipetista pré-minion pulsando forte. O caldo entornou quando ele começou a falar bem de Marighella. Toda aula tinha debate, e eram todos contra mim. Um inferno.;['fiz', 'curso', 'produção', 'musical', '2015', 'professor', 'comunista', 'nível', 'pco', 'veia', 'antipetista', 'préminion', 'pulsando', 'forte', 'caldo', 'entornou', 'começou', 'falar', 'bem', 'marighella', 'toda', 'aula', 'debate', 'todos', 'contra', 'mim', 'inferno']
1,35487E+18;aguedescartoon;@cotore Poorrraaa o motoristão do marighella, quem diria que eu sentiria saudade dele;['cotore', 'poorrraaa', 'motoristão', 'marighella', 'diria', 'sentiria', 'saudade']
1,097E+18;aguedescartoon;@elysonalves Óbvio! Marighella era terrorista!;['elysonalves', 'óbvio', 'marighella', 'terrorista']
1,097E+18;aguedescartoon;O cara tá comparando Marielle e Marighella! https://t.co/TXB42HWJwe;['cara', 'tá', 'comparando', 'marielle', 'marighella', '']
1,03865E+18;aguedescartoon;@freire_roberto @FabioRicardoGon @alexbuhr @augustodefranco @jairbolsonaro Se tivesse exaltado Marighella ou Che Guevara (como aconteceu naquela noite) o senhor não chamaria de anti-democrático.;['freireroberto', 'fabioricardogon', 'alexbuhr', 'augustodefranco', 'jairbolsonaro', 'exaltado', 'marighella', 'che', 'guevara', 'aconteceu', 'naquela', 'noite', 'senhor', 'chamaria', 'antidemocrático']
1,09681E+18;crisspaiva;"Marighella, pro UOL, ""não foi um monstro, apenas um ser humano truculento capaz de cometer assassinatos e violências variadas. Acima de tudo, fiel aos seus princípios. Um humanista.""

Fascista sou eu, amiguinho.
Assassino do lado certo é humanista que chama, né?

Bando de fdp. https://t.co/BollvEWCHn";['marighella', 'pro', 'uol', 'monstro', 'apenas', 'ser', 'humano', 'truculento', 'capaz', 'cometer', 'assassinatos', 'violências', 'variadas', 'acima', 'tudo', 'fiel', 'princípios', 'humanista', 'fascista', 'amiguinho', 'assassino', 'lado', 'certo', 'humanista', 'chama', 'né', 'bando', 'fdp', '']
1,09791E+18;heitorfreirece;Wagner Moura: de herói à vergonha nacional. Uma análise sobre o filme vergonhoso sobre “Marighella” https://t.co/MQYZLYUJZv;['wagner', 'moura', 'herói', 'vergonha', 'nacional', 'análise', 'sobre', 'filme', 'vergonhoso', 'sobre', 'marighella', '']
