Número de homicídios
Sigla;Código;Estado;2015;2016;2017;2018;2019;2020;
AC;12;Acre;217;363;516;408;318;295;
AL;27;Alagoas;1747;1820;1812;1441;1115;1292;
AM;13;Amazonas;1472;1447;1671;1540;1590;1321;
AP;16;Amapá;293;381;383;426;361;387;
BA;29;Bahia;5902;7061;7374;6675;6012;6962;
CE;23;Ceará;4162;3642;5432;4900;2417;3992;
DF;53;Distrito Federal;742;760;610;530;480;453;
ES;32;Espírito Santo;1448;1266;1521;1164;1038;1212;
GO;52;Goiás;2938;2968;2843;2635;2219;2148;
MA;21;Maranhão;2424;2381;2159;1970;1696;2088;
MG;31;Minas Gerais;4489;4573;4256;3325;2878;2725;
MS;50;Mato Grosso do Sul;634;670;656;569;491;490;
MT;51;Mato Grosso;1198;1175;1098;985;894;983;
PA;15;Pará;3661;4207;4550;4494;3352;2777;
PB;25;Paraíba;1511;1342;1341;1240;940;1130;
PE;26;Pernambuco;3776;4352;5320;4125;3394;3699;
PI;22;Piauí;645;698;622;604;553;655;
PR;41;Paraná;2899;3035;2736;2409;2063;2265;
RJ;33;Rio de Janeiro;4784;5659;5976;6056;3417;4587;
RN;24;Rio Grande do Norte;1545;1854;2203;1824;1345;1406;
RO;11;Rondônia;592;689;550;470;445;448;
RR;14;Roraima;203;204;248;414;234;237;
RS;43;Rio Grande do Sul;2944;3225;3316;2699;2184;2094;
SC;42;Santa Catarina;942;974;1057;839;760;728;
SE;28;Sergipe;1293;1454;1309;1133;972;980;
SP;35;São Paulo;5305;4755;4541;3646;3300;3317;
TO;17;Tocantins;492;566;552;562;448;481;
