"P.13 Em uma escala de 0 a 10, onde 0 significa nenhuma chance de acontecer
e 10 muita chance de acontecer, qual a chance de:
(Resposta estimulada e única, em %)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,SEXO,,IDADE,,,,,ESCOLARIDADE,,,RENDA FAMILIAR MENSAL,,,,OCUPAÇÃO PRINCIPAL,,COR,,,MORA EM COMUNIDADE,
,,,,,Mascu- lino,Femi- nino,16 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 59 anos,60 anos ou mais,Funda- mental,Médio,Supe- rior,Até 2 S.M.,Mais de 2 a 5 S.M,Mais de 5 a 10 S.M.,Mais de 10 S.M.,PEA,NÃO PEA,Parda,Branca,Preta,Sim,Não
M13A,,MÉDIA,,5.2,4.9,5.5,4.9,5.5,5.0,5.6,5.0,5.2,5.4,5.0,5.2,5.4,5.0,4.6,5.3,4.9,5.4,5.0,5.3,5.3,5.2
TER SUA RESIDÊNCIA INVADIDA OU ARROMBADA NO PRÓXIMO MÊS?,R1,Nenhuma chance de acontecer (0),,17,18,16,15,11,17,15,26,26,15,13,22,13,15,13,16,20,16,19,14,21,15
,,1,,4,5,4,3,5,4,5,5,4,5,4,4,5,4,6,4,5,5,3,3,4,5
,,2,,6,7,6,6,8,5,8,5,6,5,8,5,7,8,7,7,5,7,7,6,6,7
,,3,,7,7,7,12,5,8,6,7,4,7,10,6,7,8,13,7,8,6,9,8,7,7
,,4,,6,8,5,6,6,8,7,3,5,5,8,4,6,9,12,7,4,4,7,9,4,7
,,5,,15,16,15,19,19,20,12,11,9,18,18,15,19,13,15,14,18,16,14,18,13,17
,,6,,5,4,6,7,5,5,4,4,1,5,7,4,4,6,10,5,5,5,4,6,3,6
,,7,,6,6,6,8,9,7,4,4,3,7,6,6,6,8,8,6,5,6,7,5,7,5
,,8,,7,6,7,6,6,5,10,5,5,9,6,7,6,11,2,7,7,6,7,6,7,7
,,9,,4,5,3,4,7,5,4,3,6,3,4,4,5,4,,5,3,5,3,5,5,4
,R1,Muita chance de acontecer (10),,22,18,25,14,18,17,27,28,30,21,15,24,22,13,15,23,20,25,19,20,25,20
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
M13B,,MÉDIA,,7.2,6.9,7.5,7.5,7.9,7.5,7.2,6.3,6.9,7.4,7.2,6.9,7.5,7.4,7.1,7.4,6.8,7.4,7.2,7.1,7.4,7.1
TER OBJETOS PESSOAIS DE VALOR TOMADOS A FORÇA POR OUTRAS PESSOAS EM UM ROUBO OU ASSALTO NO PRÓXIMO MÊS?,R2,Nenhuma chance de acontecer (0),,8,8,8,6,4,5,6,17,15,6,4,12,6,1,6,6,11,8,7,9,9,8
,,1,,2,1,2,,,2,3,2,0,1,3,2,1,1,2,1,3,1,2,1,2,1
,,2,,3,4,2,1,2,2,5,3,3,3,3,2,3,4,6,3,3,3,3,2,2,3
,,3,,3,6,1,4,2,2,5,4,4,3,3,3,3,4,4,4,3,2,3,5,3,4
,,4,,3,3,2,4,2,1,2,3,2,3,3,2,3,4,2,2,3,2,3,2,1,3
,,5,,9,11,8,8,8,14,9,8,7,11,10,12,8,10,6,9,10,9,10,8,7,10
,,6,,6,8,4,6,7,7,3,6,3,7,6,5,6,5,9,5,7,5,6,8,6,6
,,7,,8,8,7,10,9,5,9,6,5,7,11,5,9,10,8,7,10,7,9,9,7,8
