"P.11 Você diria que tem medo de...
P.12 Se sim, muito medo ou pouco medo ?
(Resposta estimulada e única, em %)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,SEXO,,IDADE,,,,,ESCOLARIDADE,,,RENDA FAMILIAR MENSAL,,,,OCUPAÇÃO PRINCIPAL,,COR,,,MORA EM COMUNIDADE,
,,,,,Mascu- lino,Femi- nino,16 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 59 anos,60 anos ou mais,Funda- mental,Médio,Supe- rior,Até 2 S.M.,Mais de 2 a 5 S.M,Mais de 5 a 10 S.M.,Mais de 10 S.M.,PEA,NÃO PEA,Parda,Branca,Preta,Sim,Não
TER SUA RESIDÊNCIA INVADIDA OU ARROMBADA?,M1,TEM MEDO,,84,81,87,85,86,86,87,78,85,84,83,86,85,84,85,85,82,85,85,84,84,85
,,   Muito Medo,,62,57,67,64,64,60,65,59,67,64,56,66,63,55,60,63,62,63,58,66,66,60
,,   Pouco Medo,,22,24,21,22,23,26,22,19,18,20,28,19,23,29,25,23,20,22,26,18,18,24
,,NÃO TEM MEDO,,16,19,13,15,14,14,13,22,15,16,17,14,15,16,15,15,18,15,15,16,16,15
,,***,Total em %,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,Base ponderada,1012,465,547,150,183,181,251,248,272,432,308,337,414,138,53,690,322,375,345,210,361,651
,,,Total Nos. absolutos,1012,466,546,146,190,184,252,240,270,433,309,336,416,138,53,694,318,376,344,210,361,651
TER OBJETOS PESSOAIS DE VALOR TOMADOS A FORÇA POR OUTRAS PESSOAS EM UM ROUBO OU ASSALTO?,M2,TEM MEDO,,89,86,91,90,92,91,91,82,87,89,90,87,91,88,91,91,85,90,89,89,89,89
,,   Muito Medo,,72,67,77,70,70,77,75,69,74,71,72,74,71,71,74,74,69,75,73,68,75,71
,,   Pouco Medo,,16,19,14,20,22,14,17,12,12,17,19,13,20,17,17,17,16,15,16,21,13,18
